"","PlantNumber","Taxon","Vernacular","ProvenanceType","DonorInstitute","PrincipalCollector","BgLocation","GardenGrid","GardenSubGrid","CommemorationText","Date","Direction","Percent.Buds","Percent.Flowers","Percent.Fruit","Phenophase"
"176","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",0,0,0,NA
"177","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",100,0,0,1
"178","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",99,1,0,1
"179","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",91,9,0,2
"180","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",0,39,61,7
"181","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46195,"West",100,0,0,1
"182","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",0,0,0,NA
"183","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",0,0,0,NA
"184","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",0,100,0,5
"185","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",81,19,0,2
"186","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",66,34,0,3
"187","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",77,23,0,2
"188","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",0,0,0,NA
"189","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",0,0,0,NA
"190","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",64,33,0,3
"191","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",93,7,0,2
"192","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",33,66,0,5
"193","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",0,0,100,9
"194","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"North",88,12,0,2
"195","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",16,84,0,5
"196","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",0,0,0,NA
"197","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",12,88,0,5
"198","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",100,0,0,1
"199","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",12,88,0,5
"200","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",91,9,0,2
"201","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",0,0,0,NA
"202","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",70,30,0,2
"203","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",0,0,0,NA
"204","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",70,30,0,2
"205","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",41,59,0,3
"206","567-32*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",0,0,100,9
"207","2122-23*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"East",92,8,0,2
"208","225-79*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",14,86,0,5
"209","225-79*4",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",0,0,0,NA
"210","225-79*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",100,0,0,1
"211","225-79*6",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",93,7,0,2
"212","473-85*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",75,25,0,2
"213","166-U*3",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",80,20,0,2
"214","283-95*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",0,0,0,NA
"215","194-94*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",88,12,0,2
"216","821-37*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",85,15,0,2
"217","850-55*1",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",88,12,0,2
"218","166-U*2",NA,NA,NA,NA,NA,NA,NA,NA,NA,46199,"South",51,49,0,3
