"","SpecimenAccession","SpecimenBarcode","DeterminationCalcFullName","Collectors","CollectorNumber","Day","Month","Year","LocalityNotes","Accounted.for","Buds","Flowers","Fruits","Notes","Percent.Buds","Percent.Flowers","Percent.Fruit"
"80742","80742","0039657MOR","Acer platanoides 'Variegatum'","Hess, WJ","2197V88",24,8,1988,"Acer Collection, EE-103/30-55","Yes",0,0,0,NA,NA,NA,NA
"138965","138965","0039567MOR","Acer platanoides L.","Rossi, E","477",6,7,1990,"East slope of Frost Hill, F-64/30-50; in open, grassy area.","Yes",0,0,0,NA,NA,NA,NA
"104974","104974","0039581MOR","Acer platanoides L.","Hess, WJ","5255V92",1,7,1992,"Between V & U, east of Valley Road, U-37/Area","Yes",0,0,0,NA,NA,NA,NA
"162074","162074","0053195MOR","Acer platanoides L.","Bonnewell, V",NA,14,5,2007,"Tree Breeding Nursery, EN1/B23","Yes",0,0,0,NA,NA,NA,NA
"163579","163579","0053198MOR","Acer platanoides L.","Bonnewell, V",NA,14,5,2007,"Tree Breeding Nursery, EN1/A21","Yes",0,0,0,NA,NA,NA,NA
"163580","163580","0053196MOR","Acer platanoides L.","Bonnewell, V",NA,14,5,2007,"Tree Breeding Nursery, EN1/A22","Yes",0,0,0,NA,NA,NA,NA
"163581","163581","0053197MOR","Acer platanoides L.","Bonnewell, V",NA,14,5,2007,"Tree Breeding Nursery, EN1/B21","Yes",0,0,0,NA,NA,NA,NA
"485","485","0039656MOR","Acer pseudoplatanus 'Erectum'","Lesica, P","s.n.",24,7,1972,"Acer Collection, N-98/55-75","Yes",0,0,0,NA,NA,NA,NA
"56","56",NA,"Acer pseudoplatanus 'Esk Sunset'","Morrison, K","58",5,7,2019,"Acer: U-99/60-94","Yes",0,0,0,NA,NA,NA,NA
"57","57",NA,"Acer pseudoplatanus 'Esk Sunset'","Morrison, K","59",5,7,2019,"Acer: U-99/42-76","Yes",0,0,0,NA,NA,NA,NA
"489","489","0039661MOR","Acer pseudoplatanus 'Purpureum'","Lesica, P","s.n.",13,6,1972,"Acer Collection, N-98/20-10","Yes",0,0,0,NA,NA,NA,NA
"472","472","0039664MOR","Acer pseudoplatanus L.","Kammerer, E","s.n.",12,9,1935,NA,"Yes",0,0,0,NA,NA,NA,NA
"471","471","0039665MOR","Acer pseudoplatanus L.","Kammerer, E","s.n.",6,8,1936,"46024","Yes",0,0,0,NA,NA,NA,NA
"474","474","0039671MOR","Acer pseudoplatanus L.","Hawkinson, L","s.n.",24,10,1940,"141-13","Yes",0,0,0,NA,NA,NA,NA
"470","470","0039667MOR","Acer pseudoplatanus L.","Swink, FA","s.n.",10,8,1964,"Acer Collection, N-98/85-90","Yes",0,0,0,NA,NA,NA,NA
"58","58",NA,"Acer pseudosieboldianum (Pax) Kom.","Morrison, K","37",3,7,2019,"Acer: S-99/40-27","Yes",0,0,0,NA,NA,NA,NA
"146761","146761","0054717MOR","Acer pseudosieboldianum × palmatum 'Koshimino'","Wiegrefe, S","601",29,6,1998,"46026","Yes",0,0,0,NA,NA,NA,NA
"187877","187877","0099243MOR","Acer pseudosieboldianum × palmatum 'Koshimino'","Worcester, L","LW432",28,9,2018,"Acer: Q-100/29-53","Yes",0,0,0,NA,NA,NA,NA
"60","60",NA,"Acer pseudosieboldianum × palmatum 'Koshimino'","Morrison, K","28",2,7,2019,"Acer: Q-100/29-53","Yes",0,0,0,NA,NA,NA,NA
"188354","188354","0100192MOR","Acer pseudosieboldianum × palmatum 'Koshimino'","Potenberg, K","16909v21",19,8,2021,"Acer: Q-100/29-53","Yes",0,0,0,NA,NA,NA,NA
"512","512","0039673MOR","Acer pycnanthum K.Koch","Lesica, P","s.n.",25,7,1972,"Acer Collection, U-103/80-15","Yes",0,0,0,NA,NA,NA,NA
"187723","187723","0099234MOR","Acer pycnanthum K.Koch","Worcester, L","LW412",26,9,2018,"Propagation: H-30 area, Hoop House 4","Yes",0,0,0,NA,NA,NA,NA
"193602","193602","0108128MOR","Acer pycnanthum K.Koch","Potenberg, K","18626v24",17,10,2024,"Japan: U-62/47-03","Yes",0,0,0,NA,NA,NA,NA
"64.1","64",NA,"Acer pycnanthum K.Koch","Hartmann, K","19157v26",19,5,2026,"U-62/47-03","Yes",0,0,0,NA,NA,NA,NA
"193020","193020","0103810MOR","Acer rubrum 'Autumn Flame'","Potenberg, K","18508v24",25,7,2024,"Meadow Lake: south side: N-50/71-79","Yes",0,0,0,NA,NA,NA,NA
"188355","188355","0099888MOR","Acer rubrum 'Candy Ice'","Dorrell, J","16922v21",26,8,2021,"Acer: T-98/04-74","Yes",0,0,0,NA,NA,NA,NA
"554","554","0039820MOR","Acer rubrum 'Columnare'","Hawkinson, L","s.n.",9,10,1940,"Acer Collection, Q-100/75-65","Yes",0,0,0,NA,NA,NA,NA
"555","555","0039824MOR","Acer rubrum 'Columnare'","Swink, FA","s.n.",10,8,1964,"Acer Collection, R-99/70-70","Yes",0,0,0,NA,NA,NA,NA
"186975","186975","0098118MOR","Acer rubrum 'Frank Jr.'","Means, E","16206v19",13,6,2019,"Parking 33: I-36/81-94","Yes",0,0,0,NA,NA,NA,NA
"188433","188433","0099697MOR","Acer rubrum 'Frank Jr.'","Dorrell, J","16880v21",29,7,2021,"Visitor Center Parking: R-46/32-32","Yes",0,0,0,NA,NA,NA,NA
"188838","188838","0100102MOR","Acer rubrum 'Frank Jr.'","Potenberg, K","16951v21",21,10,2021,"Visitor center parking south: S-47/16-41","Yes",0,0,0,NA,NA,NA,NA
"189580","189580","0100942MOR","Acer rubrum 'Frank Jr.'","Dorrell, J","16872v21",22,7,2021,"Godshalk Meadow: Parking 33: east side: J-37/14-29","Yes",0,0,0,NA,NA,NA,NA
"147392","147392","0039834MOR","Acer rubrum 'October Glory'","Packard, S","9099V99",29,10,1999,"Syringa Collection, K-51/28-57","Yes",0,0,0,NA,NA,NA,NA
"561","561","0039831MOR","Acer rubrum 'Schlesingeri'","Lesica, P","s.n.",24,7,1972,"Acer Collection, S-99/05-70","Yes",0,0,0,NA,NA,NA,NA
"35346","35346","0039829MOR","Acer rubrum 'Schlesingeri'","Schulenberg, RF","s.n.",27,9,1977,"Acer Collection, S-99/05-70","Yes",0,0,0,NA,NA,NA,NA
"518","518","0039691MOR","Acer rubrum L.","Eickhorst, W","s.n.",13,9,1935,"Eastern US Wetlands, FF-68/Area","Yes",0,0,0,NA,NA,NA,NA
"519","519","0039709MOR","Acer rubrum L.","Kammerer, E","s.n.",5,10,1935,"Forestry Plot, Forest Rd., K-63/Area.","Yes",0,0,0,NA,NA,NA,NA
"517","517","0039739MOR","Acer rubrum L.","Hawkinson, L","s.n.",13,9,1940,"#104-12 Oleaceae Collection, Q-38/Area.","Yes",0,0,0,NA,NA,NA,NA
"520","520","0039735MOR","Acer rubrum L.","Hawkinson, L","s.n.",8,10,1940,"Eastern US Wetlands, FF-68/Area.","Yes",0,0,0,NA,NA,NA,NA
"521","521","0039726MOR","Acer rubrum L.","Swink, FA","s.n.",23,7,1964,"R-52/25-55","Yes",0,0,0,NA,NA,NA,NA
"141185","141185",NA,"Acer rubrum L.","Ware, George",NA,24,6,1970,NA,"Yes",0,0,0,NA,NA,NA,NA
"145291","145291","0039711MOR","Acer rubrum L.","Crowley, W","W114",14,9,1987,"Meadow Lake, south side, N-52/01-13.","Yes",0,0,0,NA,NA,NA,NA
"145293","145293","0039713MOR","Acer rubrum L.","Crowley, W","W196",1,5,1988,"Meadow Lake, northwest side, P-46/91-59.","Yes",0,0,0,NA,NA,NA,NA
"93194","93194","0039737MOR","Acer rubrum L.","Shimp, E","3697V90",19,7,1990,"Outpost, OO-33/Area in Northern Great Lakes.","Yes",0,0,0,NA,NA,NA,NA
"103774","103774","0039724MOR","Acer rubrum L.","Hess, WJ","5028V92",13,5,1992,"Acer Collection, R-98/10-85.","Yes",0,0,0,NA,NA,NA,NA
"103935","103935","0039679MOR","Acer rubrum L.","Hess, WJ","5030V92",13,5,1992,"Acer Collection, R-99/40-40","Yes",0,0,0,NA,NA,NA,NA
"107462","107462","0039745MOR","Acer rubrum L.","Packard, S","5536V92",27,10,1992,"Display Area, B-48/Area.","Yes",0,0,0,NA,NA,NA,NA
"127848","127848","0039692MOR","Acer rubrum L.","Altvatter, K","7166V95",21,6,1995,"Northern Illinois Collection, L-61/54-87","Yes",0,0,0,NA,NA,NA,NA
"132917","132917","0039690MOR","Acer rubrum L.","Allen, K","7562V96",22,8,1996,"Display Collection, B-48/25-55","Yes",0,0,0,NA,NA,NA,NA
"142093","142093","0039731MOR","Acer rubrum L.","DeMink, L","s.n.",2,7,1998,"Near Juniper Collection, Service Rd., B-48/Area.","Yes",0,0,0,NA,NA,NA,NA
"187863","187863","0099256MOR","Acer rubrum L.","Worcester, L","LW309",9,8,2018,"Midwest: L-61/54-87","Yes",0,0,0,NA,NA,NA,NA
